,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
736,TlTaO3,Perovskite,-0.78,0.08,2.76,1.72,0.86,Tl1 Ta1 O3,mp-676262,0.8725999999999998,O-Ta-Tl,3
737,TlTcO3,Perovskite,0.19,1.3,3.39,1.33,1.11,Tl1 Tc1 O3,mp-1187623,0.0,O-Tc-Tl,3
739,TlUO3,Perovskite,0.97,2.38,4.18,1.48,1.41,Tl1 U1 O3,mp-865322,0.27360000000000007,O-Tl-U,3
740,TlVO3,Perovskite,0.43,1.33,4.02,1.35,0.9000000000000001,Tl1 V1 O3,mp-22330,2.7792000000000003,O-Tl-V,3
745,TmCrO3,Perovskite,0.65,1.49,4.0,1.42,0.84,Tm1 Cr1 O3,mp-777295,2.4448,Cr-O-Tm,3
753,TmNbO3,Perovskite,-0.43,0.41,3.16,1.76,0.84,Tm1 Nb1 O3,,,,3
756,TmOsO3,Perovskite,0.05,0.79,3.44,1.3,0.74,Tm1 Os1 O3,,,,3
759,TmPuO3,Perovskite,0.71,2.37,4.0,1.75,1.6600000000000001,Tm1 Pu1 O3,,,,3
760,TmReO3,Perovskite,-0.07,1.24,3.28,1.42,1.31,Tm1 Re1 O3,,,,3
766,TmTaO3,Perovskite,-0.49,0.56,3.15,1.96,1.05,Tm1 Ta1 O3,,,,3
767,TmTcO3,Perovskite,0.28,1.37,3.53,1.39,1.09,Tm1 Tc1 O3,,,,3
770,TmUO3,Perovskite,0.57,2.2,3.85,1.69,1.6300000000000003,Tm1 U1 O3,,,,3
771,TmVO3,Perovskite,0.36,1.15,3.79,1.53,0.7899999999999999,Tm1 V1 O3,mp-755258,0.0,O-Tm-V,3
778,YbCrO3,Perovskite,0.73,1.55,4.11,1.36,0.8200000000000001,Yb1 Cr1 O3,mp-1207582,0.0,Cr-O-Yb,3
787,YbNbO3,Perovskite,-0.63,0.1,2.95,1.58,0.73,Yb1 Nb1 O3,mp-1187578,0.0,Nb-O-Yb,3
789,YbNpO3,Perovskite,1.06,2.67,4.27,1.64,1.6099999999999999,Yb1 Np1 O3,,,,3
790,YbOsO3,Perovskite,-0.05,0.7,3.31,1.27,0.75,Yb1 Os1 O3,,,,3
793,YbPuO3,Perovskite,0.97,2.47,4.31,1.59,1.5000000000000002,Yb1 Pu1 O3,mp-1187542,0.0,O-Pu-Yb,3
794,YbReO3,Perovskite,-0.15,1.41,3.14,1.38,1.5599999999999998,Yb1 Re1 O3,mp-1187535,0.0,O-Re-Yb,3
800,YbTaO3,Perovskite,-0.72,0.44,2.95,1.77,1.16,Yb1 Ta1 O3,mp-1187479,0.0,O-Ta-Yb,3
801,YbTcO3,Perovskite,0.23,1.29,3.42,1.34,1.06,Yb1 Tc1 O3,mp-1187518,0.0,O-Tc-Yb,3
804,YbUO3,Perovskite,0.88,2.34,4.19,1.53,1.46,Yb1 U1 O3,,,,3
805,YbVO3,Perovskite,0.41,1.21,3.94,1.44,0.8,Yb1 V1 O3,mp-703673,0.44799999999999995,O-V-Yb,3
809,YCrO3,Perovskite,0.86,1.99,4.06,1.27,1.13,Y1 Cr1 O3,mp-1336975,1.3989000000000003,Cr-O-Y,3
817,YNbO3,Perovskite,-0.22,0.78,3.29,1.74,1.0,Y1 Nb1 O3,,,,3
826,YTaO3,Perovskite,-0.34,1.06,3.24,1.96,1.4000000000000001,Y1 Ta1 O3,,,,3
829,YVO3,Perovskite,0.61,1.7,3.9,1.34,1.0899999999999999,Y1 V1 O3,mp-1375509,1.1014,O-V-Y,3
