,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V","Reaction (HER, HRR, OER, ORR)",ΔGO*-ΔGOH*,ΔGOOH*-ΔGO*,composition,material id,band gap,chemsys,cluster
676,TbFeO3,Perovskite,1.27,3.05,4.45,0.65,OER,1.7799999999999998,1.4000000000000004,Tb1 Fe1 O3,mp-19853,1.3449000000000004,Fe-O-Tb,3
680,TbIrO3,Perovskite,0.35,1.6,3.57,0.66,OER,1.25,1.9699999999999998,Tb1 Ir1 O3,,,,3
682,TbMnO3,Perovskite,1.2,2.55,4.4,0.75,OER,1.3499999999999999,1.8500000000000005,Tb1 Mn1 O3,mp-1188379,0.9344999999999999,Mn-O-Tb,3
690,TbRhO3,Perovskite,-0.03,1.4,3.14,0.77,OER,1.43,1.7400000000000002,Tb1 Rh1 O3,mp-5692,0.7745999999999995,O-Rh-Tb,3
691,TbRuO3,Perovskite,0.21,1.52,3.5,0.63,OER,1.31,1.98,Tb1 Ru1 O3,,,,3
699,ThCoO3,Perovskite,1.11,2.86,4.24,0.86,OER,1.7499999999999998,1.3800000000000003,Th1 Co1 O3,,,,3
702,ThFeO3,Perovskite,1.2,3.01,4.41,0.66,OER,1.8099999999999998,1.4000000000000004,Th1 Fe1 O3,,,,3
705,ThMnO3,Perovskite,1.09,2.49,4.35,0.78,OER,1.4000000000000001,1.8599999999999994,Th1 Mn1 O3,,,,3
715,TlCoO3,Perovskite,1.69,3.01,4.71,0.95,OER,1.3199999999999998,1.7000000000000002,Tl1 Co1 O3,mp-770614,0.1429999999999998,Co-O-Tl,3
718,TlFeO3,Perovskite,1.73,3.25,4.86,0.75,OER,1.52,1.6100000000000003,Tl1 Fe1 O3,mp-505819,0.2865000000000002,Fe-O-Tl,3
721,TlIrO3,Perovskite,0.48,1.69,3.69,0.74,OER,1.21,2.0,Tl1 Ir1 O3,,,,3
722,TlMnO3,Perovskite,1.62,2.86,4.8,0.8,OER,1.2399999999999998,1.94,Tl1 Mn1 O3,mp-753819,0.0,Mn-O-Tl,3
732,TlRhO3,Perovskite,0.02,1.48,3.13,0.84,OER,1.46,1.65,Tl1 Rh1 O3,,,,3
733,TlRuO3,Perovskite,0.3,1.58,3.53,0.69,OER,1.28,1.9499999999999997,Tl1 Ru1 O3,,,,3
744,TmCoO3,Perovskite,1.37,3.13,4.45,0.86,OER,1.7599999999999998,1.3200000000000003,Tm1 Co1 O3,mp-561954,1.1885999999999997,Co-O-Tm,3
747,TmFeO3,Perovskite,1.32,3.26,4.51,0.67,OER,1.9399999999999997,1.25,Tm1 Fe1 O3,mp-20651,1.37,Fe-O-Tm,3
750,TmIrO3,Perovskite,0.59,1.84,3.85,0.65,OER,1.25,2.01,Tm1 Ir1 O3,,,,3
751,TmMnO3,Perovskite,1.25,2.76,4.42,0.73,OER,1.5099999999999998,1.6600000000000001,Tm1 Mn1 O3,mp-554211,0.0,Mn-O-Tm,3
761,TmRhO3,Perovskite,0.11,1.54,3.32,0.73,OER,1.43,1.7799999999999998,Tm1 Rh1 O3,mp-1207705,0.9564999999999992,O-Rh-Tm,3
762,TmRuO3,Perovskite,0.39,1.72,3.7,0.62,OER,1.33,1.9800000000000002,Tm1 Ru1 O3,,,,3
777,YbCoO3,Perovskite,1.58,3.12,4.69,0.93,OER,1.54,1.5700000000000003,Yb1 Co1 O3,mp-687081,0.0,Co-O-Yb,3
780,YbFeO3,Perovskite,1.58,3.35,4.81,0.72,OER,1.77,1.4599999999999995,Yb1 Fe1 O3,mp-19793,0.0,Fe-O-Yb,3
784,YbIrO3,Perovskite,0.52,1.79,3.76,0.68,OER,1.27,1.9699999999999998,Yb1 Ir1 O3,,,,3
785,YbMnO3,Perovskite,1.49,2.85,4.72,0.77,OER,1.36,1.8699999999999997,Yb1 Mn1 O3,mp-19356,0.0,Mn-O-Yb,3
795,YbRhO3,Perovskite,0.07,1.53,3.2,0.8,OER,1.46,1.6700000000000002,Yb1 Rh1 O3,mp-1207518,0.0,O-Rh-Yb,3
796,YbRuO3,Perovskite,0.34,1.69,3.61,0.65,OER,1.3499999999999999,1.92,Yb1 Ru1 O3,,,,3
808,YCoO3,Perovskite,1.5,3.13,4.45,0.81,OER,1.63,1.3200000000000003,Y1 Co1 O3,mp-1330514,0.007299999999999862,Co-O-Y,3
811,YFeO3,Perovskite,1.59,3.42,4.73,0.6,OER,1.8299999999999998,1.3100000000000005,Y1 Fe1 O3,mp-1275986,0.0,Fe-O-Y,3
814,YIrO3,Perovskite,0.65,2.14,3.79,0.56,OER,1.4900000000000002,1.65,Y1 Ir1 O3,,,,3
815,YMnO3,Perovskite,1.48,2.96,4.68,0.64,OER,1.48,1.7199999999999998,Y1 Mn1 O3,mp-19385,0.0,Mn-O-Y,3
822,YRhO3,Perovskite,0.8,2.3,3.77,0.26,OER,1.4999999999999998,1.4700000000000002,Y1 Rh1 O3,mp-1207629,0.8142000000000005,O-Rh-Y,3
823,YRuO3,Perovskite,0.57,2.08,3.77,0.55,OER,1.5100000000000002,1.69,Y1 Ru1 O3,,,,3
